Port:              P038
Site:              Aberdeen
Latitude:          57.14325
Longitude:         -2.07451
Start Date:        01JAN1947-00.00.00
End Date:          31DEC1947-23.00.00
Contributor:       National Oceanography Centre, Liverpool
Datum information: The data refer to Admiralty Chart Datum (ACD)
Parameter code:    ASLVZZ01 = Surface elevation (unspecified datum) of the water body                      
  Cycle    Date      Time      ASLVZZ01     Residual  
 Number yyyy mm dd hh mi ssf           f            f 
     1) 1947/01/01 00:00:00      2.1336M      0.6109M 
     2) 1947/01/01 01:00:00      2.0117M      0.6173M 
     3) 1947/01/01 02:00:00      2.1641M      0.6388M 
     4) 1947/01/01 03:00:00      2.4689M      0.5932M 
     5) 1947/01/01 04:00:00      2.8956M      0.5749M 
     6) 1947/01/01 05:00:00      3.3528M      0.5783M 
     7) 1947/01/01 06:00:00      3.7491M      0.5419M 
     8) 1947/01/01 07:00:00      3.9015M      0.4177M 
     9) 1947/01/01 08:00:00      3.7491M      0.2339M 
    10) 1947/01/01 09:00:00      3.3833M      0.0963M 
    11) 1947/01/01 10:00:00      2.9871M      0.1099M 
    12) 1947/01/01 11:00:00      2.3775M     -0.0423M 
    13) 1947/01/01 12:00:00      2.0117M     -0.0272M 
    14) 1947/01/01 13:00:00      1.8288M     -0.0015M 
    15) 1947/01/01 14:00:00      1.8288M     -0.0316M 
    16) 1947/01/01 15:00:00      2.0727M     -0.0536M 
    17) 1947/01/01 16:00:00      2.5299M     -0.0213M 
    18) 1947/01/01 17:00:00      2.9871M     -0.0037M 
    19) 1947/01/01 18:00:00      3.2919M     -0.1043M 
    20) 1947/01/01 19:00:00      3.5357M     -0.1285M 
    21) 1947/01/01 20:00:00      3.5357M     -0.1684M 
    22) 1947/01/01 21:00:00      3.2919M     -0.1875M 
    23) 1947/01/01 22:00:00      2.8347M     -0.1931M 
    24) 1947/01/01 23:00:00      2.2860M     -0.1769M 
    25) 1947/01/02 00:00:00      1.7679M     -0.1606M 
    26) 1947/01/02 01:00:00      1.4021M     -0.1302M 
    27) 1947/01/02 02:00:00      1.2497M     -0.1231M 
    28) 1947/01/02 03:00:00      1.4021M     -0.0732M 
    29) 1947/01/02 04:00:00      1.8288M      0.0159M 
